Distance (in),Time (s),X (in),Y (in),Velocity (in/s),Orientation (deg),Touch,Rotational Velocity (deg/s),Way X (in),Way Y (in),Way Velocity (in/s),Way Orientation (deg),Way Turn Radius (in),Touch this Point
0.0,0.0,37.0,267.0,12.0,60.0,0,0.0,37.0,267.0,12.0,60.0,3.0,0.0
1.0,0.07526881720430108,38.0,267.0,14.571428571428571,56.495605736814696,0,-64.58097999298634,51.0,267.0,48.0,10.0,3.0,0
2.0,0.13833188026736415,39.0,267.0,17.142857142857142,50.774145715287666,0,-120.1506604520676,79.0,267.0,48.0,27.0,3.0,0
3.0,0.192595446158837,40.0,267.0,19.714285714285715,43.729790835250796,0,-166.0455078865833,112.0,267.0,12.0,27.0,3.0,0.0
4.0,0.24021449377788462,41.0,267.0,22.28571428571429,37.37832332046346,0,-166.0455078865833,,,,,,
5.0,0.28263873620212704,42.0,267.0,24.85714285714286,31.595643941328717,0,-166.0455078865833,,,,,,
6.0,0.3208901023223456,43.0,267.0,27.428571428571434,26.288253278287243,0,-166.0455078865833,,,,,,
7.0,0.3557159729691118,44.0,267.0,30.000000000000007,21.72539213847391,0,-154.4854414479658,,,,,,
8.0,0.3876794432887465,45.0,267.0,32.57142857142858,18.3149193014155,0,-124.23865334998487,,,,,,
9.0,0.4172153082676494,46.0,267.0,35.142857142857146,15.85012615661664,0,-96.12693264715553,,,,,,
10.0,0.4446662886598063,47.0,267.0,37.714285714285715,14.16943500907483,0,-69.86873199066655,,,,,,
11.0,0.47030731430083195,48.0,267.0,40.285714285714285,13.144699573733721,0,-45.234749931486164,,,,,,
12.0,0.4943622971187014,49.0,267.0,42.857142857142854,10.0,0,-22.035757118471707,,,,,,
13.0,0.5170160188015492,50.0,267.0,45.42857142857142,10.0,0,0.0,,,,,,
14.0,0.5385338455820571,51.0,267.0,47.51761781260807,10.095681094334894,0,4.592692528074931,,,,,,
15.0,0.5594723912221264,52.0,267.0,48.0,10.286562503259088,0,9.16230762836122,,,,,,
16.0,0.5803057245554598,53.0,267.0,48.0,10.572644226772578,0,13.731922728647508,,,,,,
17.0,0.6011390578887932,54.0,267.0,48.0,10.953926264875365,0,18.301537828933796,,,,,,
18.0,0.6219723912221266,55.0,267.0,48.0,11.430408617567451,0,22.871152929220084,,,,,,
19.0,0.6428057245554599,56.0,267.0,48.0,12.002091284848834,0,27.44076802950637,,,,,,
20.0,0.6636390578887933,57.0,267.0,48.0,12.668974266719516,0,32.01038312979266,,,,,,
21.0,0.6844723912221267,58.0,267.0,48.0,13.431057563179495,0,36.57999823007895,,,,,,
22.0,0.70530572455546,59.0,267.0,48.0,14.288341174228773,0,41.149613330365234,,,,,,
23.0,0.7261390578887934,60.0,267.0,48.0,15.221855519886185,0,44.808688591555736,,,,,,
24.0,0.7469723912221268,61.0,267.0,48.0,16.155369865543598,0,44.808688591555736,,,,,,
25.0,0.7678057245554601,62.0,267.0,48.0,17.088884211201012,0,44.808688591555736,,,,,,
26.0,0.7886390578887935,63.0,267.0,48.0,18.022398556858427,0,44.808688591555736,,,,,,
27.0,0.8094723912221269,64.0,267.0,48.0,18.95591290251584,0,44.808688591555736,,,,,,
28.0,0.8303057245554603,65.0,267.0,48.0,19.889427248173256,0,44.808688591555736,,,,,,
29.0,0.8511390578887936,66.0,267.0,48.0,20.82294159383067,0,44.808688591555736,,,,,,
30.0,0.871972391222127,67.0,267.0,48.0,21.756455939488085,0,44.808688591555736,,,,,,
31.0,0.8928057245554604,68.0,267.0,48.0,22.6899702851455,0,44.808688591555736,,,,,,
32.0,0.9136390578887937,69.0,267.0,48.0,23.547867372938708,0,41.179060214074,,,,,,
