Distance (in),Time (s),X (in),Y (in),Velocity (in/s),Orientation (deg),Touch,Rotational Velocity (deg/s),Way X (in),Way Y (in),Way Velocity (in/s),Way Orientation (deg),Way Turn Radius (in),Touch this Point
0.0,0.0,37.0,48.60000000000002,12.0,300.0,0,0.0,37.0,48.60000000000002,12.0,300.0,3.0,0.0
1.0,0.07317073170731707,38.0,48.60000000000002,15.333333333333334,300.0,0,0.0,55.0,48.60000000000002,72.0,300.0,3.0,0.0
2.0,0.13199426111908177,39.0,48.60000000000002,18.666666666666668,300.0,0,0.0,112.0,48.60000000000002,12.0,333.0,3.0,0.0
3.0,0.18117458898793423,40.0,48.60000000000002,22.0,300.0,0,0.0,,,,,,
4.0,0.2234281101146948,41.0,48.60000000000002,25.333333333333332,300.0,0,-0.0,,,,,,
5.0,0.26046514715173186,42.0,48.60000000000002,28.666666666666664,300.0,0,-0.0,,,,,,
6.0,0.2934321801187648,43.0,48.60000000000002,31.999999999999996,300.0,0,-0.0,,,,,,
7.0,0.32313515041579455,44.0,48.60000000000002,35.33333333333333,300.0,0,-0.0,,,,,,
8.0,0.3501621774428216,45.0,48.60000000000002,38.666666666666664,300.0,0,0.0,,,,,,
9.0,0.37495556587257367,46.0,48.60000000000002,42.0,300.0,0,0.0,,,,,,
10.0,0.3978563292313523,47.0,48.60000000000002,45.333333333333336,300.0,0,0.0,,,,,,
11.0,0.4191329249760331,48.0,48.60000000000002,48.66666666666667,300.0,0,0.0,,,,,,
12.0,0.43900047464490727,49.0,48.60000000000002,52.00000000000001,300.0,0,0.0,,,,,,
13.0,0.45763401501757806,50.0,48.60000000000002,55.33333333333334,300.0,0,0.0,,,,,,
14.0,0.47517787466670086,51.0,48.60000000000002,58.66666666666668,300.0,0,0.0,,,,,,
15.0,0.49175246030206,52.0,48.60000000000002,62.000000000000014,300.0,0,0.0,,,,,,
16.0,0.5074592665847825,53.0,48.60000000000002,65.33333333333334,300.0,0,0.0,,,,,,
17.0,0.5223846397191109,54.0,48.60000000000002,68.66666666666667,300.0,0,0.0,,,,,,
18.0,0.5370539371369714,55.0,48.60000000000002,67.67251461988305,300.0098177448531,0,0.6497509853954335,,,,,,
19.0,0.5519403304511526,56.0,48.60000000000002,66.67836257309942,300.0299024181849,0,1.3092623019313798,,,,,,
20.0,0.5670503419382958,57.0,48.60000000000002,65.6842105263158,300.06072871069296,0,1.9788316541550584,,,,,,
21.0,0.5823907922836803,58.0,48.60000000000002,64.69005847953217,300.1027986439651,0,2.6587705781996362,,,,,,
22.0,0.5979688190669544,59.0,48.60000000000002,63.695906432748544,300.1566435540308,0,3.3494053120977902,,,,,,
23.0,0.6137918967018208,60.0,48.60000000000002,62.70175438596492,300.2228262513456,0,4.051077735641772,,,,,,
24.0,0.6298678579690954,61.0,48.60000000000002,61.70760233918129,300.30194337595503,0,4.764146386567282,,,,,,
25.0,0.6462049172984161,62.0,48.60000000000002,60.71345029239767,300.3946279689111,0,5.4889875606216005,,,,,,
26.0,0.6628116959718161,63.0,48.60000000000002,59.71929824561404,300.50155228368243,0,6.2259965039648755,,,,,,
