Distance (in),Time (s),X (in),Y (in),Velocity (in/s),Orientation (deg),Touch,Rotational Velocity (deg/s),Way X (in),Way Y (in),Way Velocity (in/s),Way Orientation (deg),Way Turn Radius (in),Touch this Point
0.0,0.0,71.0,260.0,12.0,0.0,0,0.0,71.0,260.0,12.0,0.0,3.0,0.0
1.0,0.07157987109950205,72.0,260.0,15.940815892499046,0.0,0,0.0,85.0,260.0,72.0,0.0,3.0,0
2.0,0.12741078522367438,73.0,260.0,19.881631784998092,0.0,0,0.0,200.0,260.0,72.0,0.0,25.0,0
3.0,0.1731731036295867,74.0,260.0,23.822447677497138,0.0,0,-0.0,200.0,235.0,72.0,0.0,3.0,0
4.0,0.2119435296183761,75.0,260.0,27.763263569996184,0.0,0,-0.0,200.0,60.0,72.0,90.0,25.0,0
5.0,0.24557543408915852,76.0,260.0,31.70407946249523,0.0,0,-0.0,70.0,60.0,72.0,90.0,75.0,0
6.0,0.2752715060103696,77.0,260.0,35.644895354994276,0.0,0,-0.0,70.0,140.0,72.0,90.0,3.0,0
7.0,0.30185643055534683,78.0,260.0,39.58571124749332,0.0,0,0.0,70.0,220.0,48.0,0.0,3.0,0
8.0,0.32592027528872536,79.0,260.0,43.52652713999237,0.0,0,0.0,70.0,260.0,12.0,0.0,3.0,0.0
9.0,0.3478997778223454,80.0,260.0,47.467343032491414,0.0,0,0.0,,,,,,
10.0,0.36812723518443324,81.0,260.0,51.40815892499046,0.0,0,0.0,,,,,,
11.0,0.386861346244631,82.0,260.0,55.348974817489506,0.0,0,0.0,,,,,,
12.0,0.4043074517639774,83.0,260.0,59.28979070998855,0.0,0,0.0,,,,,,
13.0,0.4206312643198509,84.0,260.0,63.2306066024876,0.0,0,0.0,,,,,,
14.0,0.43629714971054634,85.0,260.0,64.43533439743032,0.0,0,0.0,,,,,,
15.0,0.4516728475937291,86.0,260.0,65.64006219237305,0.0,0,0.0,,,,,,
16.0,0.4667689130464603,87.0,260.0,66.84478998731578,0.0,0,0.0,,,,,,
17.0,0.48159533554767053,88.0,260.0,68.0495177822585,0.0,0,0.0,,,,,,
18.0,0.49616157867943395,89.0,260.0,69.25424557720123,0.0,0,0.0,,,,,,
19.0,0.5104766164048558,90.0,260.0,70.45897337214396,0.0,0,0.0,,,,,,
20.0,0.5245489662708015,91.0,260.0,71.66370116708669,0.0,0,0.0,,,,,,
21.0,0.5384703673188918,92.0,260.0,72.0,0.0,0,0.0,,,,,,
22.0,0.5523592562077806,93.0,260.0,72.0,0.0,0,0.0,,,,,,
23.0,0.5662481450966694,94.0,260.0,72.0,0.0,0,0.0,,,,,,
24.0,0.5801370339855583,95.0,260.0,72.0,0.0,0,0.0,,,,,,
25.0,0.5940259228744471,96.0,260.0,72.0,0.0,0,0.0,,,,,,
26.0,0.607914811763336,97.0,260.0,72.0,0.0,0,0.0,,,,,,
27.0,0.6218037006522248,98.0,260.0,72.0,0.0,0,0.0,,,,,,
28.0,0.6356925895411136,99.0,260.0,72.0,0.0,0,0.0,,,,,,
29.0,0.6495814784300025,100.0,260.0,72.0,0.0,0,0.0,,,,,,
30.0,0.6634703673188913,101.0,260.0,72.0,0.0,0,0.0,,,,,,
31.0,0.6773592562077801,102.0,260.0,72.0,0.0,0,0.0,,,,,,
32.0,0.691248145096669,103.0,260.0,72.0,0.0,0,0.0,,,,,,
33.0,0.7051370339855578,104.0,260.0,72.0,0.0,0,0.0,,,,,,
34.0,0.7190259228744467,105.0,260.0,72.0,0.0,0,0.0,,,,,,
35.0,0.7329148117633355,106.0,260.0,72.0,0.0,0,0.0,,,,,,
36.0,0.7468037006522243,107.0,260.0,72.0,0.0,0,0.0,,,,,,
37.0,0.7606925895411132,108.0,260.0,72.0,0.0,0,0.0,,,,,,
38.0,0.774581478430002,109.0,260.0,72.0,0.0,0,0.0,,,,,,
39.0,0.7884703673188909,110.0,260.0,72.0,0.0,0,0.0,,,,,,
40.0,0.8023592562077797,111.0,260.0,72.0,0.0,0,0.0,,,,,,
41.0,0.8162481450966685,112.0,260.0,72.0,0.0,0,0.0,,,,,,
42.0,0.8301370339855574,113.0,260.0,72.0,0.0,0,0.0,,,,,,
43.0,0.8440259228744462,114.0,260.0,72.0,0.0,0,0.0,,,,,,
44.0,0.8579148117633351,115.0,260.0,72.0,0.0,0,0.0,,,,,,
45.0,0.8718037006522239,116.0,260.0,72.0,0.0,0,0.0,,,,,,
46.0,0.8856925895411127,117.0,260.0,72.0,0.0,0,0.0,,,,,,
47.0,0.8995814784300016,118.0,260.0,72.0,0.0,0,0.0,,,,,,
48.0,0.9134703673188904,119.0,260.0,72.0,0.0,0,0.0,,,,,,
49.0,0.9273592562077793,120.0,260.0,72.0,0.0,0,0.0,,,,,,
50.0,0.9412481450966681,121.0,260.0,72.0,0.0,0,0.0,,,,,,
51.0,0.9551370339855569,122.0,260.0,72.0,0.0,0,0.0,,,,,,
52.0,0.9690259228744458,123.0,260.0,72.0,0.0,0,-0.0,,,,,,
53.0,0.9829148117633346,124.0,260.0,72.0,0.0,0,-0.0,,,,,,
54.0,0.9968037006522235,125.0,260.0,72.0,0.0,0,-0.0,,,,,,
55.0,1.0106925895411123,126.0,260.0,72.0,0.0,0,-0.0,,,,,,
56.0,1.0245814784300011,127.0,260.0,72.0,0.0,0,-0.0,,,,,,
57.0,1.03847036731889,128.0,260.0,72.0,0.0,0,-0.0,,,,,,
58.0,1.0523592562077788,129.0,260.0,72.0,0.0,0,-0.0,,,,,,
59.0,1.0662481450966677,130.0,260.0,72.0,0.0,0,-0.0,,,,,,
60.0,1.0801370339855565,131.0,260.0,72.0,0.0,0,-0.0,,,,,,
