Distance (in),Time (s),X (in),Y (in),Velocity (in/s),Orientation (deg),Touch,Rotational Velocity (deg/s),Way X (in),Way Y (in),Way Velocity (in/s),Way Orientation (deg),Way Turn Radius (in),Touch this Point
0.0,0.0,57.0,215.0,12.0,0.0,0,0.0,57.0,215.0,0.0,0.0,3.0,0
1.0,0.08333333333333333,58.0,215.0,12.0,0.0,0,0.0,100.0,215.0,60.0,0.0,3.0,0
2.0,0.16666666666666666,59.0,215.0,12.0,0.0,0,0.0,130.0,215.0,0.0,0.0,3.0,0
3.0,0.25,60.0,215.0,12.0,0.0,0,0.0,,,,,,
4.0,0.3333333333333333,61.0,215.0,12.0,0.0,0,0.0,,,,,,
5.0,0.41666666666666663,62.0,215.0,12.0,0.0,0,0.0,,,,,,
6.0,0.49999999999999994,63.0,215.0,12.0,0.0,0,0.0,,,,,,
7.0,0.5833333333333333,64.0,215.0,12.0,0.0,0,0.0,,,,,,
8.0,0.6666666666666666,65.0,215.0,12.0,0.0,0,-0.0,,,,,,
9.0,0.7481060606060606,66.0,215.0,12.558139534883724,0.0,0,-0.0,,,,,,
10.0,0.8235446570972886,67.0,215.0,13.953488372093027,0.0,0,-0.0,,,,,,
11.0,0.8917986253512569,68.0,215.0,15.34883720930233,0.0,0,-0.0,,,,,,
12.0,0.954117465930967,69.0,215.0,16.744186046511633,0.0,0,-0.0,,,,,,
13.0,1.0114507992643003,70.0,215.0,18.139534883720934,0.0,0,-0.0,,,,,,
14.0,1.0645372190173867,71.0,215.0,19.534883720930235,0.0,0,-0.0,,,,,,
15.0,1.1139625063737086,72.0,215.0,20.930232558139537,0.0,0,-0.0,,,,,,
16.0,1.1601990655134935,73.0,215.0,22.325581395348838,0.0,0,-0.0,,,,,,
17.0,1.2036334089478369,74.0,215.0,23.72093023255814,0.0,0,0.0,,,,,,
18.0,1.2445857899002177,75.0,215.0,25.11627906976744,0.0,0,0.0,,,,,,
19.0,1.2833245286389565,76.0,215.0,26.51162790697674,0.0,0,0.0,,,,,,
20.0,1.3200766653910934,77.0,215.0,27.906976744186043,0.0,0,0.0,,,,,,
21.0,1.3550360149845893,78.0,215.0,29.302325581395344,0.0,0,0.0,,,,,,
22.0,1.3883693483179227,79.0,215.0,30.697674418604645,0.0,0,0.0,,,,,,
23.0,1.4202212001697745,80.0,215.0,32.09302325581395,0.0,0,0.0,,,,,,
24.0,1.4507176540704838,81.0,215.0,33.48837209302325,0.0,0,0.0,,,,,,
25.0,1.479969354750756,82.0,215.0,34.883720930232556,0.0,0,0.0,,,,,,
26.0,1.5080739299141546,83.0,215.0,36.27906976744186,0.0,0,0.0,,,,,,
27.0,1.5351179550713874,84.0,215.0,37.674418604651166,0.0,0,0.0,,,,,,
28.0,1.5611785611319935,85.0,215.0,39.06976744186047,0.0,0,0.0,,,,,,
29.0,1.5863247599624029,86.0,215.0,40.465116279069775,0.0,0,0.0,,,,,,
30.0,1.6106185452731374,87.0,215.0,41.86046511627908,0.0,0,0.0,,,,,,
31.0,1.6341158130327003,88.0,215.0,43.255813953488385,0.0,0,0.0,,,,,,
32.0,1.656867135784023,89.0,215.0,44.65116279069769,0.0,0,0.0,,,,,,
33.0,1.6789184178353052,90.0,215.0,46.046511627906995,0.0,0,0.0,,,,,,
34.0,1.7003114526611758,91.0,215.0,47.4418604651163,0.0,0,0.0,,,,,,
35.0,1.7210843995210792,92.0,215.0,48.837209302325604,0.0,0,0.0,,,,,,
36.0,1.7412721929483093,93.0,215.0,50.23255813953491,0.0,0,0.0,,,,,,
37.0,1.7609068961446563,94.0,215.0,51.627906976744214,0.0,0,0.0,,,,,,
38.0,1.7800180072557674,95.0,215.0,53.02325581395352,0.0,0,0.0,,,,,,
39.0,1.798632725870486,96.0,215.0,54.41860465116282,0.0,0,0.0,,,,,,
40.0,1.8167761857860978,97.0,215.0,55.81395348837213,0.0,0,0.0,,,,,,
41.0,1.8344716590371266,98.0,215.0,57.20930232558143,0.0,0,0.0,,,,,,
42.0,1.8517407353423474,99.0,215.0,58.60465116279074,0.0,0,0.0,,,,,,
43.0,1.8690934391357292,100.0,215.0,56.65116279069771,0.0,0,0.0,,,,,,
44.0,1.8870550097288787,101.0,215.0,54.697674418604684,0.0,0,0.0,,,,,,
45.0,1.9056697283435973,102.0,215.0,52.74418604651166,0.0,0,0.0,,,,,,
46.0,1.924986889170192,103.0,215.0,50.79069767441863,0.0,0,0.0,,,,,,
47.0,1.9450615857154767,104.0,215.0,48.837209302325604,0.0,0,0.0,,,,,,
48.0,1.9659556576299568,105.0,215.0,46.88372093023258,0.0,0,0.0,,,,,,
49.0,1.9877388389876063,106.0,215.0,44.93023255813955,0.0,0,0.0,,,,,,
50.0,2.010490161738929,107.0,215.0,42.976744186046524,0.0,0,0.0,,,,,,
51.0,2.0342996855484525,108.0,215.0,41.0232558139535,0.0,0,0.0,,,,,,
52.0,2.059270649543807,109.0,215.0,39.06976744186047,0.0,0,0.0,,,,,,
53.0,2.085522175795333,110.0,215.0,37.116279069767444,0.0,0,0.0,,,,,,
54.0,2.113192703465861,111.0,215.0,35.16279069767442,0.0,0,0.0,,,,,,
