Distance (in),Time (s),X (in),Y (in),Velocity (in/s),Orientation (deg),Touch,Rotational Velocity (deg/s),Way X (in),Way Y (in),Way Velocity (in/s),Way Orientation (deg),Way Turn Radius (in),Touch this Point
0.0,0.0,110.0,160.0,12.0,0.0,0,0.0,110.0,160.0,12.0,0.0,3.0,0
1.0,0.07990839817308613,109.0,160.0,13.028658385416339,0.0,0,0.0,75.0,160.0,48.0,0.0,10.0,0
2.0,0.153747349455539,108.0,160.0,14.057316770832678,0.0,0,0.0,57.0,214.0,12.0,0.0,3.0,0.0
3.0,0.22237377659369906,107.0,160.0,15.085975156249017,0.0,0,0.0,,,,,,
4.0,0.2864750901085758,106.0,160.0,16.114633541665356,0.0,0,0.0,,,,,,
5.0,0.3466111320237406,105.0,160.0,17.143291927081695,0.0,0,0.0,,,,,,
6.0,0.40324390227155416,104.0,160.0,18.171950312498033,0.0,0,0.0,,,,,,
7.0,0.45675910307551243,103.0,160.0,19.200608697914372,0.0,0,0.0,,,,,,
8.0,0.5074820627697274,102.0,160.0,20.22926708333071,0.0,0,-0.0,,,,,,
9.0,0.5556897113709061,101.0,160.0,21.25792546874705,0.0,0,-0.0,,,,,,
10.0,0.6016197271432442,100.0,160.0,22.28658385416339,0.0,0,-0.0,,,,,,
11.0,0.6454776199365859,99.0,160.0,23.315242239579728,0.0,0,-0.0,,,,,,
12.0,0.6874422856814784,98.0,160.0,24.343900624996067,0.0,0,-0.0,,,,,,
13.0,0.7276704116314522,97.0,160.0,25.372559010412406,0.0,0,-0.0,,,,,,
14.0,0.7663000063573047,96.0,160.0,26.401217395828745,0.0,0,-0.0,,,,,,
15.0,0.8034532551947587,95.0,160.0,27.429875781245084,0.0,0,-0.0,,,,,,
16.0,0.839238850130528,94.0,160.0,28.458534166661423,0.0,0,-0.0,,,,,,
17.0,0.8737539060846579,93.0,160.0,29.48719255207776,0.0,0,0.0,,,,,,
18.0,0.9070855486762138,92.0,160.0,30.5158509374941,0.0,0,0.0,,,,,,
19.0,0.9393122388147825,91.0,160.0,31.54450932291044,0.0,0,0.0,,,,,,
20.0,0.9705048847839375,90.0,160.0,32.57316770832678,0.0,0,0.0,,,,,,
21.0,1.00072778145669,89.0,160.0,33.601826093743114,0.0,0,0.0,,,,,,
22.0,1.030039407916461,88.0,160.0,34.63048447915945,0.0,0,0.0,,,,,,
23.0,1.0584931083496623,87.0,160.0,35.659142864575784,0.0,0,0.0,,,,,,
24.0,1.0861376761261923,86.0,160.0,36.68780124999212,0.0,0,0.0,,,,,,
25.0,1.1130178571292728,85.0,160.0,37.716459635408455,0.0,0,0.0,,,,,,
26.0,1.1391747853709562,84.0,160.0,38.74511802082479,0.0,0,0.0,,,,,,
27.0,1.164646361538623,83.0,160.0,39.773776406241126,0.0,0,0.0,,,,,,
27.99995760404257,1.1894665443293626,82.0000447159809,160.00215402991003,40.80239118070035,0.0,0,0.0,,,,,,
28.99954098945614,1.2136598626869748,81.00296246660803,160.07282179045447,41.830621012028864,0.0,0,0.0,,,,,,
29.999124374869698,1.2372657103446487,80.01791647933916,160.24267863417984,42.858850843357374,0.0,0,0.0,,,,,,
30.99870776028327,1.2603119412841517,79.05474900806618,160.51002740765088,43.8870806746859,0.0,0,0.0,,,,,,
31.99829114569684,1.2828244743842923,78.12308370378122,160.8721968502968,44.915310506014414,0.0,0,0.0,,,,,,
32.997874531110405,1.3048274686140315,77.23222945823709,161.325568284764,45.94354033734293,0.0,0,0.0,,,,,,
33.99745791652398,1.326343478838178,76.39108739257799,161.86561177354392,46.971770168671455,0.0,0,0.0,,,,,,
34.99704130193754,1.3477689632140237,75.6080619202794,162.48693138061134,46.33612130102673,0.0,0,0.0,,,,,,
35.996624687351115,1.3694903969363121,74.89097677302671,163.1833190858334,45.700472433382,0.0,0,0.0,,,,,,
36.99620807276467,1.391516070392459,74.24699682857444,163.94781681345466,45.06482356573728,0.0,0,0.0,,,,,,
37.99579145817824,1.413854627274604,73.6825565216561,164.77278595489014,44.429174698092545,0.0,0,0.0,,,,,,
38.99537484359181,1.4365150849442307,73.20329555323923,165.6499836911771,43.79352583044781,0.0,0,0.0,,,,,,
39.995374843591826,1.4595165090678304,72.88706778722239,166.59866698922764,43.15761203183886,0.0,0,0.0,,,,,,
40.99537484359184,1.4828593673823123,72.57084002120556,167.54735028727816,42.521698233229905,0.0,0,0.0,,,,,,
41.995374843591854,1.5065539491514448,72.25461225518872,168.4960335853287,41.88578443462095,0.0,0,0.0,,,,,,
42.99537484359187,1.5306110158612796,71.93838448917188,169.44471688337921,41.249870636012,0.0,0,0.0,,,,,,
43.99537484359188,1.5550418305657292,71.62215672315504,170.39340018142974,40.613956837403045,0.0,0,0.0,,,,,,
44.9953748435919,1.5798581895476673,71.3059289571382,171.34208347948027,39.97804303879409,0.0,0,0.0,,,,,,
45.99537484359191,1.605072456518316,70.98970119112137,172.2907667775308,39.34212924018514,0.0,0,0.0,,,,,,
46.995374843591925,1.630697599603092,70.67347342510453,173.23945007558132,38.706215441576184,0.0,0,0.0,,,,,,
47.99537484359194,1.656747231390865,70.3572456590877,174.18813337363184,38.07030164296723,0.0,0,0.0,,,,,,
48.995374843591954,1.6832356523562377,70.04101789307086,175.13681667168237,37.43438784435828,0.0,0,0.0,,,,,,
49.99537484359197,1.7101778980015798,69.72479012705402,176.0854999697329,36.79847404574932,0.0,0,0.0,,,,,,
50.99537484359198,1.73758979010787,69.40856236103718,177.03418326778342,36.16256024714037,0.0,0,0.0,,,,,,
51.995374843591996,1.7654879925317055,69.09233459502035,177.98286656583394,35.526646448531416,0.0,0,0.0,,,,,,
52.99537484359201,1.7938900720411364,68.77610682900351,178.93154986388447,34.89073264992246,0.0,0,0.0,,,,,,
53.995374843592025,1.8228145647464158,68.45987906298667,179.880233161935,34.25481885131351,0.0,0,0.0,,,,,,
54.99537484359204,1.852281048754694,68.14365129696984,180.82891645998552,33.618905052704555,0.0,0,0.0,,,,,,
55.99537484359205,1.88231022376177,67.827423530953,181.77759975803605,32.9829912540956,0.0,0,0.0,,,,,,
56.99537484359207,1.9129239983911954,67.51119576493616,182.72628305608657,32.34707745548665,0.0,0,0.0,,,,,,
57.99537484359208,1.9441455862036336,67.19496799891932,183.6749663541371,31.711163656877694,0.0,0,0.0,,,,,,
58.995374843592096,1.9759996114302467,66.87874023290249,184.62364965218762,31.07524985826874,0.0,0,0.0,,,,,,
59.99537484359211,2.008512225636386,66.56251246688565,185.57233295023815,30.439336059659787,0.0,0,0.0,,,,,,
60.995374843592124,2.041711236700135,66.24628470086881,186.52101624828867,29.803422261050834,0.0,0,0.0,,,,,,
61.99537484359214,2.075626251699267,65.93005693485198,187.4696995463392,29.16750846244188,0.0,0,0.0,,,,,,
62.99537484359215,2.1102888355460734,65.61382916883514,188.41838284438973,28.531594663832927,0.0,0,-0.0,,,,,,
63.99537484359217,2.145732687499729,65.2976014028183,189.36706614244025,27.895680865223973,0.0,0,-0.0,,,,,,
64.99537484359217,2.1819938380296207,64.98137363680146,190.31574944049078,27.259767066615026,0.0,0,-0.0,,,,,,
65.99537484359219,2.2191108689117307,64.66514587078463,191.2644327385413,26.623853268006073,0.0,0,-0.0,,,,,,
66.9953748435922,2.257125159927862,64.34891810476779,192.21311603659183,25.98793946939712,0.0,0,-0.0,,,,,,
67.99537484359222,2.296081166121847,64.03269033875095,193.16179933464235,25.352025670788166,0.0,0,-0.0,,,,,,
68.99537484359223,2.3360267302699778,63.716462572734116,194.11048263269288,24.716111872179212,0.0,0,-0.0,,,,,,
69.99537484359224,2.3770134360726005,63.40023480671728,195.0591659307434,24.08019807357026,0.0,0,-0.0,,,,,,
70.99537484359226,2.419097008605439,63.08400704070044,196.00784922879393,23.444284274961305,0.0,0,-0.0,,,,,,
71.99537484359227,2.4623377698277604,62.767779274683605,196.95653252684446,22.80837047635235,0.0,0,-0.0,,,,,,
72.99537484359229,2.5068011584877423,62.45155150866677,197.90521582489498,22.172456677743398,0.0,0,-0.0,,,,,,
73.9953748435923,2.5525583256678663,62.13532374264993,198.8538991229455,21.536542879134444,0.0,0,-0.0,,,,,,
74.99537484359232,2.599686819571777,61.81909597663309,199.80258242099603,20.90062908052549,0.0,0,-0.0,,,,,,
75.99537484359233,2.648271376095608,61.502868210616256,200.75126571904656,20.264715281916537,0.0,0,-0.0,,,,,,
76.99537484359234,2.698404835418589,61.18664044459942,201.69994901709708,19.628801483307583,0.0,0,-0.0,,,,,,
77.99537484359236,2.750189209512118,60.87041267858258,202.6486323151476,18.99288768469863,0.0,0,0.0,,,,,,
78.99537484359237,2.8037369314015144,60.554184912565745,203.59731561319813,18.356973886089676,0.0,0,0.0,,,,,,
