Distance (in),Time (s),X (in),Y (in),Velocity (in/s),Orientation (deg),Touch,Rotational Velocity (deg/s),Way X (in),Way Y (in),Way Velocity (in/s),Way Orientation (deg),Way Turn Radius (in),Touch this Point
0.0,0.0,70.0,260.0,12.0,0.0,0,0.0,70.0,260.0,12.0,0.0,3.0,0
1.0,0.08230417430363952,71.0,260.0,12.300104058167548,0.0,0,0.0,110.0,260.0,24.0,0.0,3.0,0
2.0,0.16262445245854373,72.0,260.0,12.600208116335097,0.0,0,0.0,110.0,200.0,48.0,0.0,3.0,0
3.0,0.24105422476082078,73.0,260.0,12.900312174502645,0.0,0,0.0,70.0,190.0,72.0,0.0,5.0,0
4.0,0.31768043874228086,74.0,260.0,13.200416232670193,0.0,0,0.0,70.0,245.0,12.0,0.0,3.0,0
5.0,0.3925841784758729,75.0,260.0,13.500520290837741,0.0,0,0.0,,,,,,
6.0,0.46584118020177195,76.0,260.0,13.80062434900529,0.0,0,0.0,,,,,,
7.0,0.5375222924932591,77.0,260.0,14.100728407172838,0.0,0,0.0,,,,,,
8.0,0.6076938879699402,78.0,260.0,14.400832465340386,0.0,0,0.0,,,,,,
9.0,0.6764182325541609,79.0,260.0,14.700936523507934,0.0,0,0.0,,,,,,
10.0,0.7437538174183406,80.0,260.0,15.001040581675483,0.0,0,0.0,,,,,,
11.0,0.8097556580572044,81.0,260.0,15.30114463984303,0.0,0,-0.0,,,,,,
12.0,0.8744755643160546,82.0,260.0,15.60124869801058,0.0,0,-0.0,,,,,,
13.0,0.9379623846952672,83.0,260.0,15.901352756178127,0.0,0,-0.0,,,,,,
14.0,1.000262227816673,84.0,260.0,16.201456814345676,0.0,0,-0.0,,,,,,
15.0,1.0614186635667495,85.0,260.0,16.501560872513224,0.0,0,-0.0,,,,,,
16.0,1.1214729061142743,86.0,260.0,16.801664930680772,0.0,0,-0.0,,,,,,
17.0,1.1804639807277504,87.0,260.0,17.10176898884832,0.0,0,-0.0,,,,,,
18.0,1.2384288760834679,88.0,260.0,17.40187304701587,0.0,0,-0.0,,,,,,
19.0,1.2954026835526948,89.0,260.0,17.701977105183417,0.0,0,-0.0,,,,,,
20.0,1.3514187247813352,90.0,260.0,18.002081163350965,0.0,0,-0.0,,,,,,
21.0,1.4065086687233932,91.0,260.0,18.302185221518513,0.0,0,-0.0,,,,,,
22.0,1.4607026391573772,92.0,260.0,18.60228927968606,0.0,0,-0.0,,,,,,
23.0,1.5140293135994818,93.0,260.0,18.90239333785361,0.0,0,0.0,,,,,,
24.0,1.5665160144266286,94.0,260.0,19.20249739602116,0.0,0,0.0,,,,,,
25.0,1.6181887929341858,95.0,260.0,19.502601454188706,0.0,0,0.0,,,,,,
26.0,1.66907250697571,96.0,260.0,19.802705512356255,0.0,0,0.0,,,,,,
27.0,1.7191908927638946,97.0,260.0,20.102809570523803,0.0,0,0.0,,,,,,
28.0,1.768566631351837,98.0,260.0,20.40291362869135,0.0,0,0.0,,,,,,
29.0,1.8172214102606754,99.0,260.0,20.7030176868589,0.0,0,0.0,,,,,,
30.0,1.8651759806726986,100.0,260.0,21.003121745026448,0.0,0,0.0,,,,,,
31.0,1.9124502105674068,101.0,260.0,21.303225803193996,0.0,0,0.0,,,,,,
32.0,1.9590631341410454,102.0,260.0,21.603329861361544,0.0,0,0.0,,,,,,
33.0,2.005032997817241,103.0,260.0,21.903433919529093,0.0,0,0.0,,,,,,
34.0,2.050377303127074,104.0,260.0,22.20353797769664,0.0,0,0.0,,,,,,
35.0,2.095112846710752,105.0,260.0,22.50364203586419,0.0,0,0.0,,,,,,
36.0,2.139255757669689,106.0,260.0,22.803746094031737,0.0,0,0.0,,,,,,
37.0,2.18282153247682,107.0,260.0,23.103850152199286,0.0,0,0.0,,,,,,
37.995376796160485,2.225627530533631,107.98158409038845,259.8348708389442,23.40256676813286,0.0,0,0.0,,,,,,
38.99075359232096,2.26789060639449,108.8551094092092,259.35766178233087,23.70128338406643,0.0,0,0.0,,,,,,
39.98613038848146,2.307933353545989,109.5244129544237,258.62090691760443,26.014426299615614,0.0,0,0.0,,,,,,
40.98613038848146,2.344730027000545,109.5244129544237,257.62090691760443,28.338313017159898,0.0,0,0.0,,,,,,
41.98613038848146,2.378628037487527,109.5244129544237,256.62090691760443,30.66219973470418,0.0,0,0.0,,,,,,
42.98613038848146,2.4100507217389997,109.5244129544237,255.62090691760443,32.986086452248465,0.0,0,0.0,,,,,,
43.98613038848146,2.439334988079814,109.5244129544237,254.62090691760443,35.30997316979275,0.0,0,0.0,,,,,,
